school_id,schoolName,schoolType,address,phone,built,age,size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
niakwaplace,Niakwa Place School,School,200 Pebblebeach Rd.,(204) 257-0640,1974,50 years,32230 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nordale,Nordale School,School,99 Birchdale Ave.,(204) 237-0202,1948,76 years,36954 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sagecreek,Sage Creek School,School,315 Sage Creek Blvd.,(204) 253-8199,2017,7 years,76940 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
samuelburland,Samuel Burland School,School,192 Burland Ave.,(204) 254-0124,1987,37 years,44208 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shamrock,Shamrock School,School,831 Beaverhill Blvd.,(204) 257-0637,1974,50 years,78185 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stgeorge,St. George School,School,151 St. George Rd.,(204) 253-2646,1954,70 years,47767 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victorhlwyatt,Victor H.L. Wyatt School,School,485 Meadowood Dr.,(204) 255-7880,1979,45 years,63900 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victormager,Victor Mager School,School,81 Beliveau Rd.,(204) 253-9873,1959,65 years,43879 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windsorpark,Windsor Park Collegiate,Collegiate,1015 Cottonwood Rd.,(204) 256-7316,1959,65 years,105000 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
windsor,Windsor School,School,80 Cunnington Ave.,(204) 237-4057,1922,102 years,36576 ftÂ²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
